Station,Code,Lines
Addison Road-Seat Pleasant,G03,"BL, SV"
Anacostia,F06,GR
Archives-Navy Memorial-Penn Quarter,F02,"GR, YL"
Arlington Cemetery,C06,BL
Ashburn,N12,SV
Ballston-MU,K04,"OR, SV"
Benning Road,G01,"BL, SV"
Bethesda,A09,RD
Braddock Road,C12,"BL, YL"
Branch Ave,F11,GR
Brookland-CUA,B05,RD
Capitol Heights,G02,"BL, SV"
Capitol South,D05,"BL, OR, SV"
Cheverly,D11,OR
Clarendon,K02,"OR, SV"
Cleveland Park,A05,RD
College Park-U of Md,E09,GR
Columbia Heights,E04,"GR, YL"
Congress Heights,F07,GR
Court House,K01,"OR, SV"
Crystal City,C09,"BL, YL"
Deanwood,D10,OR
Downtown Largo,G05,"BL, SV"
Dunn Loring-Merrifield,K07,OR
Dupont Circle,A03,RD
East Falls Church,K05,"OR, SV"
Eastern Market,D06,"BL, OR, SV"
Eisenhower Avenue,C14,YL
Farragut North,A02,RD
Farragut West,C03,"BL, OR, SV"
Federal Center SW,D04,"BL, OR, SV"
Federal Triangle,D01,"BL, OR, SV"
Foggy Bottom-GWU,C04,"BL, OR, SV"
Forest Glen,B09,RD
Fort Totten,B06,RD
Fort Totten,E06,"GR, YL"
Franconia-Springfield,J03,BL
Friendship Heights,A08,RD
Gallery Pl-Chinatown,B01,RD
Gallery Pl-Chinatown,F01,"GR, YL"
Georgia Ave-Petworth,E05,"GR, YL"
Glenmont,B11,RD
Greenbelt,E10,GR
Greensboro,N03,SV
Grosvenor-Strathmore,A11,RD
Herndon,N08,SV
Huntington,C15,YL
Hyattsville Crossing,E08,GR
Innovation Center,N09,SV
Judiciary Square,B02,RD
King St-Old Town,C13,"BL, YL"
L'Enfant Plaza,D03,"BL, OR, SV"
L'Enfant Plaza,F03,"GR, YL"
Landover,D12,OR
Loudoun Gateway,N11,SV
McLean,N01,SV
McPherson Square,C02,"BL, OR, SV"
Medical Center,A10,RD
Metro Center,A01,RD
Metro Center,C01,"BL, OR, SV"
Minnesota Ave,D09,OR
Morgan Boulevard,G04,"BL, SV"
Mt Vernon Sq 7th St-Convention Center,E01,"GR, YL"
Navy Yard-Ballpark,F05,GR
Naylor Road,F09,GR
New Carrollton,D13,OR
NoMa-Gallaudet U,B35,RD
North Bethesda,A12,RD
Pentagon,C07,"BL, YL"
Pentagon City,C08,"BL, YL"
Potomac Ave,D07,"BL, OR, SV"
Potomac Yard,C11,"BL, YL"
Reston Town Center,N07,SV
Rhode Island Ave-Brentwood,B04,RD
Rockville,A14,RD
Ronald Reagan Washington National Airport,C10,"BL, YL"
Rosslyn,C05,"BL, OR, SV"
Shady Grove,A15,RD
Shaw-Howard U,E02,"GR, YL"
Silver Spring,B08,RD
Smithsonian,D02,"BL, OR, SV"
Southern Avenue,F08,GR
Spring Hill,N04,SV
Stadium-Armory,D08,"BL, OR, SV"
Suitland,F10,GR
Takoma,B07,RD
Tenleytown-AU,A07,RD
Twinbrook,A13,RD
Tysons,N02,SV
U Street/African-Amer Civil War Memorial/Cardozo,E03,"GR, YL"
Union Station,B03,RD
Van Dorn Street,J02,BL
Van Ness-UDC,A06,RD
Vienna/Fairfax-GMU,K08,OR
Virginia Square-GMU,K03,"OR, SV"
Washington Dulles International Airport,N10,SV
Waterfront,F04,GR
West Falls Church,K06,OR
West Hyattsville,E07,GR
Wheaton,B10,RD
Wiehle-Reston East,N06,SV
Woodley Park-Zoo/Adams Morgan,A04,RD
